Category,Content Rating,Reviews,Installs,Type,Price,Rating
AUTO_AND_VEHICLES,Everyone,534,10000,Free,0,4.6
AUTO_AND_VEHICLES,Everyone,7774,100000,Free,0,4.9
AUTO_AND_VEHICLES,Everyone,38846,1000000,Free,0,4.3
AUTO_AND_VEHICLES,Everyone,2431,100000,Free,0,4.6
AUTO_AND_VEHICLES,Everyone,6090,100000,Free,0,4.9
AUTO_AND_VEHICLES,Everyone,295,10000,Free,0,3.9
AUTO_AND_VEHICLES,Everyone,190,50000,Free,0,4
AUTO_AND_VEHICLES,Everyone,40211,5000000,Free,0,4.3
AUTO_AND_VEHICLES,Everyone,356,100000,Free,0,3.9
AUTO_AND_VEHICLES,Everyone,52530,5000000,Free,0,4.2
AUTO_AND_VEHICLES,Everyone,116986,5000000,Free,0,4.8
AUTO_AND_VEHICLES,Everyone,1379,500000,Free,0,3.6
AUTO_AND_VEHICLES,Teen,271920,10000000,Free,0,4.2
AUTO_AND_VEHICLES,Everyone,736,100000,Free,0,4.8
AUTO_AND_VEHICLES,Everyone,7021,500000,Free,0,4.8
AUTO_AND_VEHICLES,Everyone,197,50000,Free,0,4.6
AUTO_AND_VEHICLES,Everyone,737,100000,Free,0,4.5
AUTO_AND_VEHICLES,Everyone 10,3574,1000000,Free,0,4.3
AUTO_AND_VEHICLES,Everyone,994,100000,Free,0,4.5
AUTO_AND_VEHICLES,Everyone,197136,1000000,Free,0,4.9
AUTO_AND_VEHICLES,Everyone,142,50000,Free,0,3.9
AUTO_AND_VEHICLES,Everyone,15168,1000000,Free,0,4.4
AUTO_AND_VEHICLES,Everyone,2155,500000,Free,0,4
AUTO_AND_VEHICLES,Everyone,138,100000,Free,0,4.3
AUTO_AND_VEHICLES,Everyone,5414,1000000,Free,0,3.7
AUTO_AND_VEHICLES,Everyone,21777,1000000,Free,0,4.4
AUTO_AND_VEHICLES,Everyone,348,100000,Free,0,4.3
AUTO_AND_VEHICLES,Everyone,250,100000,Free,0,3.2
AUTO_AND_VEHICLES,Everyone,13372,1000000,Free,0,4.6
AUTO_AND_VEHICLES,Everyone,7880,100000,Free,0,4.6
AUTO_AND_VEHICLES,Everyone,3617,100000,Free,0,4.5
AUTO_AND_VEHICLES,Everyone,4806,1000000,Free,0,3.7
AUTO_AND_VEHICLES,Everyone,65786,1000000,Free,0,4.6
AUTO_AND_VEHICLES,Everyone,31433,1000000,Free,0,4.6
AUTO_AND_VEHICLES,Everyone,5097,1000000,Free,0,4.6
AUTO_AND_VEHICLES,Everyone,1754,500000,Free,0,4
AUTO_AND_VEHICLES,Everyone,2680,500000,Free,0,4.4
AUTO_AND_VEHICLES,Everyone,1288,100000,Free,0,4
BEAUTY,Everyone,18900,500000,Free,0,4.7
BEAUTY,Everyone,49790,1000000,Free,0,4.9
BEAUTY,Everyone,1150,100000,Free,0,4.7
BEAUTY,Everyone,1739,500000,Free,0,3.9
BEAUTY,Everyone,32090,1000000,Free,0,3.9
BEAUTY,Everyone,2225,500000,Free,0,4.2
BEAUTY,Everyone,4369,100000,Free,0,4.6
BEAUTY,Everyone,8572,1000000,Free,0,4.3
BEAUTY,Everyone,964,50000,Free,0,4.7
BEAUTY,Everyone,42050,1000000,Free,0,4.7
BEAUTY,Everyone,104,10000,Free,0,4.8
BEAUTY,Everyone,17934,1000000,Free,0,4.2
BEAUTY,Everyone,601,100000,Free,0,4.3
BEAUTY,Everyone,36,10000,Free,0,4.5
BEAUTY,Teen,187,50000,Free,0,4.1
BEAUTY,Everyone 10,182,100000,Free,0,NaN
BEAUTY,Everyone,30,10000,Free,0,4.2
BEAUTY,Everyone,134,10000,Free,0,4.5
BEAUTY,Everyone,74,10000,Free,0,4.4
BEAUTY,Everyone,113715,10000000,Free,0,4
BEAUTY,Everyone,3595,500000,Free,0,4.1
BEAUTY,Everyone,9315,1000000,Free,0,4.1
BEAUTY,Everyone,75,50000,Free,0,4.4
BEAUTY,Everyone,38,10000,Free,0,4.6
BEAUTY,Everyone,26834,1000000,Free,0,4.5
BEAUTY,Everyone,119,50000,Free,0,NaN
BEAUTY,Everyone,2277,500000,Free,0,3.9
BEAUTY,Everyone,2280,500000,Free,0,4.4
BEAUTY,Teen,654,100000,Free,0,NaN
BEAUTY,Everyone,184,10000,Free,0,4.6
BEAUTY,Everyone,9,5000,Free,0,3.8
BEAUTY,Mature 17,77,10000,Free,0,NaN
BEAUTY,Everyone 10,35,10000,Free,0,NaN
BEAUTY,Everyone,364,100000,Free,0,4
BEAUTY,Everyone,18,5000,Free,0,4.3
BEAUTY,Mature 17,473,100000,Free,0,4.5
BEAUTY,Mature 17,30,10000,Free,0,NaN
BEAUTY,Everyone,66,10000,Free,0,4.1
BEAUTY,Everyone,3871,1000000,Free,0,3.7
BEAUTY,Everyone,257,50000,Free,0,4.7
BEAUTY,Everyone,62,10000,Free,0,4.2
BOOKS_AND_REFERENCE,Teen,2914724,100000000,Free,0,4.6
BOOKS_AND_REFERENCE,Everyone,1857,50000,Free,0,4.5
BOOKS_AND_REFERENCE,Everyone 10,4478,100000,Free,0,4.6
BOOKS_AND_REFERENCE,Everyone,577550,10000000,Free,0,4.4
BOOKS_AND_REFERENCE,Teen,814080,100000000,Free,0,4.2
BOOKS_AND_REFERENCE,Everyone,246315,10000000,Free,0,4.5
BOOKS_AND_REFERENCE,Everyone,454060,10000000,Free,0,4.5
BOOKS_AND_REFERENCE,Teen,155446,10000000,Free,0,4.5
BOOKS_AND_REFERENCE,Everyone,418,100000,Free,0,4.5
BOOKS_AND_REFERENCE,Teen,22486,1000000,Free,0,4.4
BOOKS_AND_REFERENCE,Everyone,203130,10000000,Free,0,4.5
BOOKS_AND_REFERENCE,Everyone,1435,500000,Free,0,4.6
BOOKS_AND_REFERENCE,Teen,116507,1000000,Free,0,4.8
BOOKS_AND_REFERENCE,Teen,1433233,1000000000,Free,0,3.9
BOOKS_AND_REFERENCE,Everyone,90468,5000000,Free,0,4.6
BOOKS_AND_REFERENCE,Everyone,860,100000,Free,0,4.2
BOOKS_AND_REFERENCE,Everyone,363934,10000000,Free,0,4.1
BOOKS_AND_REFERENCE,Everyone,967,500000,Free,0,4.7
BOOKS_AND_REFERENCE,Teen,87873,10000000,Free,0,4.2
BOOKS_AND_REFERENCE,Everyone,17506,1000000,Free,0,4.3
BOOKS_AND_REFERENCE,Everyone,1862,1000000,Free,0,3.3
BOOKS_AND_REFERENCE,Everyone,2084,500000,Free,0,4.6
BOOKS_AND_REFERENCE,Everyone,47303,1000000,Free,0,4.8
BOOKS_AND_REFERENCE,Everyone,19080,500000,Free,0,4.7
BOOKS_AND_REFERENCE,Everyone,161,10000,Free,0,NaN
BOOKS_AND_REFERENCE,Everyone,85842,5000000,Free,0,4.1
BOOKS_AND_REFERENCE,Teen,7831,100000,Free,0,4.6
BOOKS_AND_REFERENCE,Mature 17,91615,5000000,Free,0,4.1
BOOKS_AND_REFERENCE,Everyone,4620,500000,Free,0,4.6
BOOKS_AND_REFERENCE,Everyone,21336,1000000,Free,0,4.7
BOOKS_AND_REFERENCE,Everyone,26875,500000,Free,0,4.5
BOOKS_AND_REFERENCE,Mature 17,1778,500000,Free,0,3.9
BOOKS_AND_REFERENCE,Everyone,2709,1000000,Free,0,4.4
BOOKS_AND_REFERENCE,Everyone,64513,5000000,Free,0,4.3
BOOKS_AND_REFERENCE,Everyone,8342,10000000,Free,0,4.2
BOOKS_AND_REFERENCE,Everyone,527,100000,Free,0,4.5
BOOKS_AND_REFERENCE,Everyone,1322,100000,Free,0,4.4
BOOKS_AND_REFERENCE,Everyone,1680,100000,Free,0,3.4
BOOKS_AND_REFERENCE,Everyone,2739,50000,Free,0,4.9
BOOKS_AND_REFERENCE,Everyone,1065,500000,Free,0,4.6
BOOKS_AND_REFERENCE,Everyone,233757,10000000,Free,0,4.4
BOOKS_AND_REFERENCE,Everyone,2,50000,Free,0,NaN
BOOKS_AND_REFERENCE,Everyone,8788,1000000,Free,0,4.4
BOOKS_AND_REFERENCE,Everyone,51269,1000000,Free,0,4.4
BOOKS_AND_REFERENCE,Everyone,30105,1000000,Free,0,4.4
BOOKS_AND_REFERENCE,Everyone,156,500000,Free,0,3.5
BOOKS_AND_REFERENCE,Everyone,114,100000,Free,0,NaN
BOOKS_AND_REFERENCE,Everyone 10,341157,10000000,Free,0,4.4
BUSINESS,Everyone,16129,10000000,Free,0,4.1
BUSINESS,Everyone,674730,50000000,Free,0,4.3
BUSINESS,Everyone,1254730,10000000,Free,0,4.4
BUSINESS,Everyone,85185,5000000,Free,0,4.3
BUSINESS,Everyone,32584,1000000,Free,0,4.3
BUSINESS,Everyone,217730,50000000,Free,0,4.1
BUSINESS,Everyone,70991,5000000,Free,0,4.4
BUSINESS,Everyone,1002861,100000000,Free,0,4.3
BUSINESS,Everyone,16589,1000000,Free,0,3.9
BUSINESS,Everyone,148945,1000000,Free,0,4.8
BUSINESS,Everyone,4458,500000,Free,0,4.5
BUSINESS,Everyone,62272,10000000,Free,0,4.4
BUSINESS,Everyone,8941,5000000,Free,0,4
BUSINESS,Everyone,46353,1000000,Free,0,4.3
BUSINESS,Everyone,1279184,50000000,Free,0,4
BUSINESS,Everyone,88073,10000000,Free,0,4.2
BUSINESS,Everyone,67000,1000000,Free,0,4.5
BUSINESS,Everyone,159872,10000000,Free,0,4.2
BUSINESS,Everyone,30847,5000000,Free,0,4.2
BUSINESS,Everyone,188841,5000000,Free,0,4.6
BUSINESS,Everyone,11622,5000000,Free,0,4.1
BUSINESS,Everyone,95912,5000000,Free,0,4.6
BUSINESS,Everyone,4034,100000,Free,0,3.1
BUSINESS,Everyone,45964,1000000,Free,0,3.9
BUSINESS,Everyone,14955,1000000,Free,0,4.3
BUSINESS,Everyone,6903,1000000,Free,0,4.1
BUSINESS,Everyone,31614,10000000,Free,0,4.4
BUSINESS,Everyone,23055,5000000,Free,0,4.1
BUSINESS,Everyone,19023,1000000,Free,0,4.1
BUSINESS,Everyone,207372,5000000,Free,0,4.5
BUSINESS,Everyone,1225,100000,Free,0,4.4
BUSINESS,Everyone,380837,10000000,Free,0,4.4
BUSINESS,Everyone,10600,1000000,Free,0,4.3
BUSINESS,Everyone,74359,1000000,Free,0,4.4
BUSINESS,Everyone,822,100000,Free,0,4.6
BUSINESS,Everyone,80805,5000000,Free,0,4.2
BUSINESS,Everyone,2287,1000000,Free,0,4.4
BUSINESS,Everyone,4162,100000,Free,0,4.7
BUSINESS,Everyone,14760,50000000,Free,0,3.8
BUSINESS,Everyone,23243,5000000,Free,0,3.9
BUSINESS,Everyone,9,100000,Free,0,NaN
BUSINESS,Everyone,8978,1000000,Free,0,4.3
BUSINESS,Everyone,80805,5000000,Free,0,4.2
BUSINESS,Everyone,42492,1000000,Free,0,4.4
BUSINESS,Everyone,286897,10000000,Free,0,4.7
BUSINESS,Everyone,103755,10000000,Free,0,4.5
BUSINESS,Everyone,46505,1000000,Free,0,4.2
BUSINESS,Everyone,11442,100000,Paid,4.99,4.7
BUSINESS,Everyone,10295,100000,Paid,4.99,4.8
BUSINESS,Everyone,159872,10000000,Free,0,4.2
BUSINESS,Everyone,296,50000,Free,0,4.2
BUSINESS,Everyone,29313,5000000,Free,0,4.3
BUSINESS,Everyone,70991,5000000,Free,0,4.4
BUSINESS,Everyone,51507,5000000,Free,0,4.4
BUSINESS,Everyone,1802,100000,Free,0,4.1
BUSINESS,Everyone,1383,100000,Free,0,3.8
BUSINESS,Everyone,23175,1000000,Free,0,4.3
BUSINESS,Everyone,5868,500000,Free,0,3.8
BUSINESS,Everyone,2111,100000,Free,0,3.5
BUSINESS,Everyone,5448,500000,Free,0,4.1
BUSINESS,Everyone,4159,500000,Free,0,4.6
BUSINESS,Everyone,20815,1000000,Free,0,4.3
BUSINESS,Everyone,78662,1000000,Free,0,4.5
BUSINESS,Everyone,7149,1000000,Free,0,4.1
BUSINESS,Everyone,3079,100000,Free,0,4.5
BUSINESS,Everyone,5800,100000,Free,0,4.6
BUSINESS,Everyone,6989,1000000,Free,0,4
BUSINESS,Everyone,16422,1000000,Free,0,4.2
BUSINESS,Everyone,108741,10000000,Free,0,4.4
BUSINESS,Everyone,31614,10000000,Free,0,4.4
BUSINESS,Everyone,624,100000,Free,0,4
BUSINESS,Everyone,1661,100000,Free,0,4.2
BUSINESS,Everyone,97702,5000000,Free,0,4.2
BUSINESS,Everyone,308,50000,Free,0,4.1
BUSINESS,Everyone,6989,1000000,Free,0,4
BUSINESS,Everyone,5211,1000000,Free,0,3.8
BUSINESS,Everyone,1058,500000,Free,0,3.9
BUSINESS,Everyone,78172,10000000,Free,0,3.9
BUSINESS,Everyone,159872,10000000,Free,0,4.2
BUSINESS,Everyone,296,50000,Free,0,4.2
BUSINESS,Everyone,29313,5000000,Free,0,4.3
BUSINESS,Everyone,70991,5000000,Free,0,4.4
BUSINESS,Everyone,51507,5000000,Free,0,4.4
BUSINESS,Everyone,1802,100000,Free,0,4.1
BUSINESS,Everyone,1383,100000,Free,0,3.8
BUSINESS,Everyone,23175,1000000,Free,0,4.3
BUSINESS,Everyone,5868,500000,Free,0,3.8
BUSINESS,Everyone,2111,100000,Free,0,3.5
BUSINESS,Everyone,5448,500000,Free,0,4.1
BUSINESS,Everyone,4159,500000,Free,0,4.6
BUSINESS,Everyone,20815,1000000,Free,0,4.3
BUSINESS,Everyone,78662,1000000,Free,0,4.5
BUSINESS,Everyone,7149,1000000,Free,0,4.1
BUSINESS,Everyone,3079,100000,Free,0,4.5
BUSINESS,Everyone,5800,100000,Free,0,4.6
BUSINESS,Everyone,6989,1000000,Free,0,4
BUSINESS,Everyone,16422,1000000,Free,0,4.2
BUSINESS,Everyone,8978,1000000,Free,0,4.3
BUSINESS,Everyone,80804,5000000,Free,0,4.2
BUSINESS,Everyone,42492,1000000,Free,0,4.4
BUSINESS,Everyone,286897,10000000,Free,0,4.7
BUSINESS,Everyone,103755,10000000,Free,0,4.5
BUSINESS,Everyone,46505,1000000,Free,0,4.2
BUSINESS,Everyone,11442,100000,Paid,4.99,4.7
BUSINESS,Everyone,10295,100000,Paid,4.99,4.8
BUSINESS,Everyone,217730,50000000,Free,0,4.1
BUSINESS,Everyone,1002859,100000000,Free,0,4.3
BUSINESS,Everyone,51510,5000000,Free,0,4.4
BUSINESS,Everyone,413,10000,Free,0,4.5
BUSINESS,Everyone,23175,1000000,Free,0,4.3
COMICS,Teen,1013635,10000000,Free,0,4.5
COMICS,Adults only 18,24005,500000,Free,0,4.6
COMICS,Teen,57106,1000000,Free,0,4.7
COMICS,Everyone,2249,500000,Free,0,4.7
COMICS,Everyone,516,50000,Free,0,4.8
COMICS,Mature 17,834,50000,Free,0,3.9
COMICS,Mature 17,1010,50000,Free,0,4.1
COMICS,Teen,238970,1000000,Free,0,4.4
COMICS,Teen,302,10000,Free,0,4.6
COMICS,Everyone,438,10000,Free,0,4.5
COMICS,Everyone,73,10000,Free,0,4.7
COMICS,Everyone 10,39,10000,Free,0,4.4
COMICS,Everyone,144,10000,Free,0,4.5
COMICS,Teen,2181,100000,Free,0,3.9
COMICS,Teen,93965,5000000,Free,0,3.2
COMICS,Mature 17,1446,100000,Free,0,3.2
COMICS,Mature 17,12088,1000000,Free,0,4.1
COMICS,Everyone,314,100000,Free,0,4.5
COMICS,Teen,25671,1000000,Free,0,4.2
COMICS,Teen,15194,1000000,Free,0,4.2
COMICS,Teen,22551,1000000,Free,0,3.7
COMICS,Teen,29839,1000000,Free,0,4.5
COMICS,Everyone,279,100000,Free,0,4.6
COMICS,Everyone,564387,5000000,Free,0,4.5
COMICS,Everyone,1330,50000,Free,0,NaN
COMICS,Everyone,1677,100000,Free,0,4.7
COMICS,Teen,757,10000,Free,0,4.4
COMICS,Mature 17,115,10000,Free,0,3.5
COMICS,Teen,125,5000,Free,0,3.3
COMICS,Everyone 10,9952,500000,Free,0,4.5
COMICS,Mature 17,18814,1000000,Free,0,4.4
COMICS,Everyone,21,5000,Free,0,4.2
COMICS,Everyone,15,1000,Free,0,5
COMICS,Everyone,51981,5000000,Free,0,4.4
COMICS,Teen,3596,10000,Free,0,4.7
COMICS,Everyone,1006,50000,Free,0,4.4
COMICS,Everyone,5968,1000000,Free,0,4.4
COMICS,Everyone,4895,100000,Free,0,4.6
COMMUNICATION,Everyone,56642847,1000000000,Free,0,4
COMMUNICATION,Everyone,69119316,1000000000,Free,0,4.4
COMMUNICATION,Teen,125257,10000000,Free,0,4.3
COMMUNICATION,Everyone,9642995,1000000000,Free,0,4.3
COMMUNICATION,Everyone,1429035,100000000,Free,0,4.4
COMMUNICATION,Everyone,4604324,1000000000,Free,0,4.3
COMMUNICATION,Everyone,3419249,1000000000,Free,0,4
COMMUNICATION,Everyone,11334799,500000000,Free,0,4.3
COMMUNICATION,Everyone,158679,5000000,Free,0,4.3
COMMUNICATION,Everyone,3075028,100000000,Free,0,4.4
COMMUNICATION,Everyone,4187998,100000000,Free,0,4.3
COMMUNICATION,Everyone,659395,100000000,Free,0,4.3
COMMUNICATION,Everyone,4785892,500000000,Free,0,4.3
COMMUNICATION,Everyone,66602,50000000,Free,0,4.3
COMMUNICATION,Everyone,30209,5000000,Free,0,4.3
COMMUNICATION,Everyone,36901,5000000,Free,0,4
COMMUNICATION,Everyone,5149854,100000000,Free,0,4.5
COMMUNICATION,Everyone,192948,10000000,Free,0,4.3
COMMUNICATION,Everyone,99559,10000000,Free,0,3.7
COMMUNICATION,Everyone,437674,10000000,Free,0,4.5
COMMUNICATION,Everyone,13698,10000000,Free,0,3.9
COMMUNICATION,Everyone,2473509,100000000,Free,0,4.4
COMMUNICATION,Everyone,20769,1000000,Free,0,3.6
COMMUNICATION,Everyone,36880,1000000,Free,0,4.4
COMMUNICATION,Everyone,171031,10000000,Free,0,4.2
COMMUNICATION,Everyone,63543,5000000,Free,0,4.4
COMMUNICATION,Everyone,45487,10000000,Free,0,4.1
COMMUNICATION,Mature 17,615381,10000000,Free,0,4.4
COMMUNICATION,Teen,2451083,100000000,Free,0,4.3
COMMUNICATION,Everyone,33053,5000000,Free,0,4.2
COMMUNICATION,Everyone,5387333,100000000,Free,0,4.2
COMMUNICATION,Teen,3648120,100000000,Free,0,4.4
COMMUNICATION,Everyone,136662,10000000,Free,0,4.4
COMMUNICATION,Everyone,42370,1000000,Free,0,3.9
COMMUNICATION,Everyone,781810,100000000,Free,0,4.2
COMMUNICATION,Mature 17,3128250,100000000,Free,0,4.4
COMMUNICATION,Everyone,2083237,500000000,Free,0,4.6
COMMUNICATION,Everyone,541389,10000000,Free,0,4.3
COMMUNICATION,Everyone,46702,1000000,Free,0,4.3
COMMUNICATION,Everyone,2939,100000,Free,0,4.4
COMMUNICATION,Everyone,13761,10000000,Free,0,3.7
COMMUNICATION,Everyone,258556,10000000,Free,0,4.3
COMMUNICATION,Teen,40751,10000000,Free,0,3.9
COMMUNICATION,Teen,17712922,500000000,Free,0,4.5
COMMUNICATION,Everyone,25021,5000000,Free,0,3.7
COMMUNICATION,Everyone,27187,5000000,Free,0,4.3
COMMUNICATION,Everyone,69119316,1000000000,Free,0,4.4
COMMUNICATION,Everyone,56646578,1000000000,Free,0,4
COMMUNICATION,Everyone,4785988,500000000,Free,0,4.3
COMMUNICATION,Everyone,122498,10000000,Free,0,4
COMMUNICATION,Everyone,11334973,500000000,Free,0,4.3
COMMUNICATION,Everyone,3419433,1000000000,Free,0,4
COMMUNICATION,Everyone,132014,10000000,Free,0,4.1
COMMUNICATION,Everyone,83239,5000000,Free,0,4.2
COMMUNICATION,Everyone,594728,50000000,Free,0,4.2
COMMUNICATION,Everyone,5387446,100000000,Free,0,4.2
COMMUNICATION,Everyone,10484169,1000000000,Free,0,4.1
COMMUNICATION,Mature 17,3128509,100000000,Free,0,4.4
COMMUNICATION,Teen,2451093,100000000,Free,0,4.3
COMMUNICATION,Everyone,171031,10000000,Free,0,4.2
COMMUNICATION,Everyone,2876500,100000000,Free,0,4.4
COMMUNICATION,Everyone,781810,100000000,Free,0,4.2
COMMUNICATION,Everyone,28238,1000000,Free,0,4.1
COMMUNICATION,Everyone,335646,10000000,Free,0,4.3
COMMUNICATION,Everyone,350154,10000000,Free,0,4.3
COMMUNICATION,Everyone,349384,10000000,Free,0,4.5
COMMUNICATION,Everyone,346982,10000000,Free,0,4.3
COMMUNICATION,Everyone,244863,10000000,Free,0,4.2
COMMUNICATION,Everyone,10790289,500000000,Free,0,4.2
COMMUNICATION,Everyone,330761,10000000,Free,0,4.5
COMMUNICATION,Everyone,37320,1000000,Free,0,4.3
COMMUNICATION,Everyone,12842860,100000000,Free,0,4.3
COMMUNICATION,Everyone,2546527,100000000,Free,0,4.3
COMMUNICATION,Everyone,36893,1000000,Free,0,4.4
COMMUNICATION,Everyone,15880,1000000,Free,0,4.2
COMMUNICATION,Everyone,346980,10000000,Free,0,4.3
COMMUNICATION,Everyone,9643041,1000000000,Free,0,4.3
COMMUNICATION,Everyone,3075118,100000000,Free,0,4.4
COMMUNICATION,Everyone,2264916,50000000,Free,0,4.6
COMMUNICATION,Everyone,541389,10000000,Free,0,4.3
COMMUNICATION,Everyone,2473693,100000000,Free,0,4.4
COMMUNICATION,Everyone,42925,1000000,Free,0,4.2
COMMUNICATION,Everyone,5150471,100000000,Free,0,4.5
COMMUNICATION,Everyone,2511130,50000000,Free,0,4.5
COMMUNICATION,Teen,3648480,100000000,Free,0,4.4
COMMUNICATION,Teen,17714850,500000000,Free,0,4.5
COMMUNICATION,Everyone,13100,1000000,Free,0,4.1
COMMUNICATION,Everyone,27156,1000000,Free,0,4.2
COMMUNICATION,Everyone,55098,1000000,Free,0,4.1
COMMUNICATION,Everyone,1133501,10000000,Free,0,4.3
COMMUNICATION,Everyone,12578,500000,Free,0,4.1
COMMUNICATION,Everyone,10965,500000,Free,0,4.2
COMMUNICATION,Everyone,18247,100000,Paid,3.99,4
COMMUNICATION,Everyone,190613,10000000,Free,0,4.2
COMMUNICATION,Everyone,125232,10000000,Free,0,4.2
COMMUNICATION,Everyone,83239,5000000,Free,0,4.2
COMMUNICATION,Everyone,11334973,500000000,Free,0,4.3
COMMUNICATION,Everyone,72065,1000000,Free,0,4.3
COMMUNICATION,Everyone,27540,1000000,Free,0,4.4
COMMUNICATION,Everyone,104990,5000000,Free,0,4.2
COMMUNICATION,Mature 17,177703,10000000,Free,0,4.4
COMMUNICATION,Everyone,17529,1000000,Free,0,4.1
COMMUNICATION,Mature 17,177263,10000000,Free,0,4.2
COMMUNICATION,Everyone,237468,1000000,Free,0,4.8
COMMUNICATION,Everyone,32254,1000000,Free,0,4.4
COMMUNICATION,Everyone,483565,10000000,Free,0,4.4
COMMUNICATION,Everyone,552441,10000000,Free,0,4.4
COMMUNICATION,Everyone,60308,5000000,Free,0,4
COMMUNICATION,Everyone,457283,10000000,Free,0,4.5
COMMUNICATION,Everyone,93825,5000000,Free,0,4.4
COMMUNICATION,Everyone,32283,1000000,Free,0,4.1
COMMUNICATION,Everyone,15287,1000000,Free,0,4.2
COMMUNICATION,Everyone,205739,5000000,Free,0,4.5
COMMUNICATION,Everyone,14873,1000000,Free,0,4.3
COMMUNICATION,Everyone,7820209,100000000,Free,0,4.5
COMMUNICATION,Everyone,9498,1000000,Free,0,4
COMMUNICATION,Everyone,4604483,1000000000,Free,0,4.3
COMMUNICATION,Everyone,4188142,100000000,Free,0,4.3
COMMUNICATION,Everyone,88427,5000000,Free,0,4.2
COMMUNICATION,Everyone,305218,10000000,Free,0,4.5
COMMUNICATION,Everyone,183374,1000000,Free,0,4.6
COMMUNICATION,Everyone,20901,1000000,Free,0,4.1
COMMUNICATION,Everyone,122595,1000000,Free,0,4
COMMUNICATION,Everyone,124346,10000000,Free,0,4.2
COMMUNICATION,Everyone,837842,50000000,Free,0,4.6
COMMUNICATION,Everyone,255,10000,Free,0,4.1
COMMUNICATION,Everyone,41420,5000000,Free,0,4.3
